source,target,marian_prediction
Good. Tum kaise ho?,Good. How are you?,Hi. How are you doing?
Tujhe laga ke movie ka plot interesting hai?,Do you think the movie plotis interesting?,What is the plot interesting of the movie?
Phir bhi usne colleagues ko lenieny diya evidence exchange karne badale.,"However, he is given leniency for exchange for evidence against his colleagues",Something about collegues lenny exchanged an vidence.
"yah sach hai, aur shaayad yah bhee haasy ke prakaar ke logon ke saath bahut kuchh karana hai, ya paravaah nahin hai.","That's true, and it probably also has a lot to do with the types of humor people like, or don't care for.","That's right, and may because it's a scary movie you should try to hunt it, or not around."
mein tho bhool bhi gayi ki yeh movie itna long hein aur kaafi scene changes bhi ho chuki hein,I forgot how long the movie was there were a lot of scenes and changes of events.,What else should I know about the movie and the scene of the scenes.
"koi nahi, maine soncha ese dekhne me maza aaega, khasker young nieces ko.","ANYWAY, I THINK THAT IT WOULD BE FUN TO SEE, ESPECIALLY YOUNG NIECES",I'm not sure. I'll have to check out some other films
mujhe kuchh 6 ya 8 khilaune yaad hain,I seem to recall some 6 or 8 toys,I watch 6 or 8
yes i agree,Yes. I agree.,score i agree
interesting movie ke tarah sound kartha,Sounds like an interesting movie,What is the name of the movie?
Leonardo DiCaprio,Leonardo DiCaprio,Leonardo DiCaprio
AAP MUJSE YEH BAAT BOLNA CHAHIYE THA ...LOL,MAYBE YOU SHOULD BE TELLING ME ABOUT IT...LOL,I like how we tell when we are done
Lekin iss cinema ka score A hai,Oh but the CinemaScore is an A.,but it's cinema's A
"wah, yeh to impressive he. Agar debate ye he ki ,movie dekhna he ya nahi , to me Rotten Tomatoes ko look karna like karti hu.kya tum director ko jante ho?","Wow, that's impressive. I like to look at Rotten Tomatoes when debating whether or not to see a movie. Do you know the director?","That's impressive. It seems like agar debate, I don't see it, to find out about Rotten Tomatoes. I can't talk sorry about that."
interesting yar.. lekin uska life ka true elements tho muje sure hein,Sounds interesting. I'm sure has true elements of that life.,Sounds interesting. But the true acts of life are all very good guess
mujhe lagata hai ki yah vishay par nirbhar karata hai,I think it depends on the topic,It seems like it's funny but nirbab
yes,yes,Hello
Sally Hawkins mute cleaner play kar rahi hai,"Sally Hawkins plays the mute cleaner,",Sally Hawkins played in a mute cleaner
haan,yes,:)
Same here. mujhe aisa laga jaise uske bina bhi they could've done it. Tumhe lagta usse khud ki movie milegi?,Same here. I feel as they could've done without her. Do you think she should have her own movie?,I think it could've done it. Do you think that this movie is a good movie?
thor lol. mujhe hmesha se ye character pasand tha so mai bahut wxcited tha usse movie me dekhne ke liye.,Thor lol. I've always liked the character in the comics so i was really excited to see it played out in a movie.,Love I like that character so I wxcited it to see it.
"hello, great sound kar rahi he","Hello, sounds great","hello, how do you talking?"
toh kya zootopia dekha kya?,So have you seen Zootopia?,What do you think?
"I think ye bahut sad hai ki bruce ne Chill ko marne ke bare me socha, Yeh to use bhi dark bana dega na.","I think it is very sad that Bruce thought about killing Chill. That would have made him ""dark"" also.",I think the bruce was very much a Friend for Chill. It was really sad to see you.
mujhe bhi. Usne avengers mein acha kam kiya hai. Agar woh usme fail hota to no way woh may mein infinity wars release kartey.,Me either. He did such a good job with avengers. If he had failed their is no way they would be releasing infinity wars in may,He did a fail job. He was also avengers. He failed no way infinity warsy.
"jabki ant kafi crazy tha,tum jante ho vaha shootout hua",The ending was a bit crazy however. You knew there would be a shootout but after that...,"When it was very crazy, there was a lot of shoot out of it."
"Maine mere 18 turns gine hai, apke pas kam se kam utne hone chahiye.",I counted 18 turns on my side and you have at least that many.,"I have 18 turns, but I'm supposed to see you."
acha tho is movie kis baare me hein?,Alright that is fine. What is the movie?,What is the movie about?
Hanks toy cowboy play kr rha hai.,Hanks plays the toy cowboy,Hanks toy cowboy is pretty r.
A Bo Peep,A Bo Peep,a boep
movie ka naam home alone hai,the movie is named home alone,the movie is not a alone
Sunkar good movie hai. Kya ham finish kar skate hai?,Sounds like a good movie. Can we finish now?,What is the good movie?
mein Morgan freeman tho enjoy kar raha hoon aur uska kaam tho amazing hein.,I enjoyed Morgan Freeman also but he is amazing in all of his work.,Morgan Freeman is a good in all his amazing
"company, people ko scams kar dethe",The company scams people,"company, keep them from scams"
true.ye sab takes place Russian crime syndicate ke sath run me uski wife ki death ke bad,True. It all tales place following the death of his wife after a run in with a Russian crime syndicate.,true. The only thing I really didn't think would work is having the Russian crime sydicate.
muje patha hein aap kya aap bole,I know what you mean.,I have heard of it. Do you know?
kya police kabhi figure out kar payi ki kevin home alone hai?,Do the police ever figure out that Kevin is home alone?,What did you think of the payvin of the movie?
"sound aise kar raha hai jaise ki ye koi suspense/thriller aur scifi sath me ho, jo ki bahut cool hai. ye bahut confusing hai par enticing bhi hai. yah mujhe uksata hai is dekhne aur figure out karne ke liye.",Sounds like it might be suspense/thriller as well as scifi which is cool. It seems pretty confusing but enticing. Makes me want to see it to try and figure it all out.,that's what it seems like that it was really suspense/thriller and scifiously happened to be very cooled. It is a confusing actoral actor. It's impress
Main agree karta hu. Wo thode bahut hi honest logo mein se ek tha sahi kaam ke liye,I agree. He was one of the few honest people in it for the right reasons.,I agree. He was also very much a Friends movie from the movie.
Jim Carrey ke bareme hum ye abhi kehe nehi sakte kiu ke is sal pe wo achha nehi kiya,"However, I cannot say the same for Jim Carrey as he has had a downward spiral these years",What we're the movie we want to know is that it was really sad to see it.
"Not really, mai unhe occasionally dekhta hu.","Not really, I'll watch them on occasion.","Not really, I'll watch them on occasionally."
Arre wow.,Oh wow.,"Hey, how are you doing?"
Aur use Post Assistant Editor ne bhi track down kar liya,And he tracked down by the post assistant editor too.,yeah :)
mene Ryan Goslings ka bhi character really like kiya.,I really liek Ryan Goslings character as well,I like the character really i like Ry Goslings.
hawkeye ke baare mein aapaka kya khyaal hai?,How do you feel about hawkeye?,What is your name?
mai sahamat hu sare rough part muje mari dsaness se bahar le aye,I agree. All of the rough parts kept bringing me back from my trip of sadness. Haha!,It was really sad because I loved the movie sorry.
voh successfull they aur unke paas jyada money hein.. michael tho kabhi opportunity nahi mila.. lekin unke family member hone ke baad usse uska mother ko mila aurusse realized huva ki voh evicted hein.. voh NCAA ko bhi bola kyon ki voh apni family pyar kartha hein,They were very successful and had a lot of money. Micheal just never had the opportunities. After becoming a member of the family he tried to go back to visit his mother but realized she had been evicted. He told the NCAA he chose to go to Ol' Miss because that is where his family goes.,He has a really good job. It's fason good to know that. It's got some pretty big actors. Since Family I'm supposed to be very good.
"Hello, maine just film ko dekha. Tumhe lagta hai ki ye Hilarious hai? Jim Carrey bahut funny hai.","Hello, I have just seen the film. It is hilarious don't you think? Jim Carrey is very funny.","Hello, I'm funny. Do you think it is a story? Jim Carrey is a funny."
mei bhi agree hui.,I would too agree.,I agree.
Ek hasya animation adventure.,A comedy animation adventure,I agree.
Yes,yes,Yes
"Haan, main hamesha wo movies check karta hun jo Best Picture jeet ti hain. Zyadatar time wo achi hoti hain.","Yes, I always try to check out the movies that win Best Picture. More often than not they are good.","Yes, I'm supposed to check out what the movies are done by Best picture. Then scene time they're just a scary thrilling."
bechari Elsa,Poor Elsa,Elsa
KYA YEH SUSPENSEFUL HEIN? MEIN JARUR DEKHNE KE LIYE CONSIDER KARUNGA,Is it suspenseful? I may consider watching it,What was your name? I liked the SUSEFUL?
Ye 1995 Mei bani hai and full length computer animated film hai.,It was made in 1995 and was one of the first full length computer animated films.,This is the leader animated film.
Yeh kab aayi?,when did it come out?,What is it about?
Classified Government Documents ke saath,with classified government documents,Classly government with documents
Hi. Ham jis movie ke baare mein baat karenge wo hai Bruce Almighty. Ye ek comedy hai starring Jim Carrey aur Morgan Freeman,Hi. Bruce Almighty is the movie we will be talking about. It is a comedy starring Jim Carrey and Morgan Freeman.,Hi. The movie I want to know is Bruce Almighty. It is a comedy starring Jim Carrey and Morgan Freeman
"Han, kuch critics mein se ek ne kaha ki Mia ka character thoda dull tha or Sebastian jazz snob hai.","Yeah, one of the critics said Mia's character was a little dull and Sebastian is a jazz snob",I believe the character sounds like Mia's critics or the Sebastian is a jazzob
kul 24 line,so 24 lines total?,kul 24 lines
