source,target
muje lagtha hein ki voh usse kuch bothered huva aur voh apni family ko kahi privileges par le chali,I think it also really bothered her that their family took so many privileges for granted.  
kya tun agree ho?,would you agree?
"Hello,movie ko wolf of wall Street bulaya jata he","Hello, the movie is called the wolf of wall street"
2016,2016
ye ekdum accha nahin hai!,This definitely is not good :(
"ending thodi weird lagi, wo kahte hai ye khatm hua uske apni ex ko friend request bhejte hue jisne ise dump kiya tha.","ending sounds weird, they said it ends with him sending a friend request to his ex who dumped him.  ironic."
kafi sochne par bhi mai mujhe koi movie ya book yaad nahi aai jisme isse related story ho jo is itna interesting banati hai. bahut originao concept hai.,I can't think of any other movie or even book that has a related story either which makes it very interesting. A very original concept.
"is movie tho social networking ke baare mein portrays kiya hein yaani facebook website ke tarah. voh tho Justin Timberlake hi hey, muje nahi lagtha ki voh aise act kar saktha hein.","the movie portrays the founding of social networking website Facebook and the resulting lawsuits. It even has Justin Timberlake in it, I don't think I've ever seen him act. "
yes i agree,Yes.  I agree.
itna bhi sure nahi hei yar..,Lol not quite sure..
shayd. isse uska character build hoga or wo inta flat nhi lagegi.,Maybe. It would help build her character up and she wouldn't seem as flat 
"koi nahi, maine soncha ese dekhne me maza aaega, khasker young nieces ko.","ANYWAY, I THINK THAT IT WOULD BE FUN TO SEE, ESPECIALLY YOUNG NIECES"
mujhe uska character pasand hai. or maine apne dog ka name woi rakha hai lol.,I like his character. Thats what i named my dog lol
"aap check kar lo. 1974 ke novel se tha peter benchley likhe huve the., muje rate ke baare mein patha nahi, probably R diye hongae","I hope that you check it out.  It is based on a 1974 novel by Peter Benchley.  I'm not sure what it is rated, but probably R."
Hi. Kaisa chal raha hai?,Hi. How is it going?
hi. kya tum ne Toy Story dekha hai?,Hi.  Have you see Toy Story?
hi! hum John Wick movie par discussion kar rahe honge!,Hi! We'll be discussing the movie John Wick!
usne as Don Cobb  play kiya he,He plays as Don Cobb
"Haan, ratings decent hain.",YES THE RATINGS ARE DECENT
Voh toh Frozen ke tarah hein.,That sounds a little like Frozen
namaste! aaj main jis philm ke baare mein aapase baat karana chaahata hoon vah hai steven spielberg kee jaws,Hi! The movie I want to talk to you about today is Steven Spielberg's JAWS. It has a 97% review on Rotten Tomatoes and has a 8/10 IMDB rating!
IMDB rating usually itni high nahi hoti.,IMDB ratings usually aren't that high
Hi. Hum jiske baare me baat karege wo Bruce Almighty hai. Ye ek comedy movie jisme star Jim Carrey aur Morgan Freeman hai.,Hi.  Bruce Almighty is the movie we will be talking about.  It is a comedy starring Jim Carrey and Morgan Freeman.
"Mujhe nahi lagta, lagta hai thodi der ho gayi but ye cut nahi ho raha hai",I am not sure.. it seems like it has been awhile but it isnt cutting off
end me use ye determine karne me trouble ho raha tha ki ye reality hai ya dream hai. ye yah nahi kahta ki kuch par based hai.,Something about at the end  he has trouble determining which is reality and which is a dream. It doesn't say it's based off anything. 
hello,Hello
Main ab conversation ko khatam karne ja raha hu. Good afternoon.,I'm going to push finish conversation now.  Have a good afternoon.
aur idk bhi,yeah idk then 
kya ye achi hai?,Was it good?
"Not really, mai unhe kuch ocassions me hi dekhta hu.","Not really, I'll watch them on occasion."
"Hello, ye movie interesting lagti hai. kya tum kuch aur review de sakte ho?","Hello, that movie sounds interesting. Could you give a little review?"
Yes mujhe unke character ke liye khed hai par unha character bahut kuch Freinds days ki tarah tha.,Yes I feel sorry for her character but her character sounds too much like her Friends days.
Mujhe lagta he ke sabhi actor achcha acting kiya hai lekin tin main actors bahot hi achcha kiya hai,Well I think the actors all did a fabulous job and the three main actors are all very good actors.
Mujhe ye bhi nahi pata sorry,I dont know that either sorrt
is wale ka topic kya hai?,What is the topic of this one?
uska own family mein kya wrong hein?,What was wrong with her own family?
isme bahut kuch action tha,"Yes it does.  This could almost qualify as a ""chick flick"" but it had a bit too much action."
Movie kis bare main hai?,What is the movie about ?
"Aur  movie me, Court ke rules The Newspaper 6-3, ye Shocker hona chahiye the.","and in the movie, the court rules the newspaper 6-3, that must of been a shocker"
"Tumne inception dekhi hai? If not, you should. Complicated hai par kaafi acchi ha.","Have you ever seen Inception? If not, you should. It's complicated but very good."
"MUJE PASAND HEIN, KYA VOH ACHE GUY YA BURA?",I like him. Is he a good guy or bad?
Same here. mujhe aisa laga jaise uske bina bhi they could've done it. Tumhe lagta usse khud ki movie milegi?,Same here. I feel as they could've done without her. Do you think she should have her own movie?
acha wait kar mein iske baare mein kuch suna hein,Oh wait I think I've heard about this
maine dekha hai. woh bahut interesting hain.,I watched it.  It was very interesting.
"Main isi ko dekh raha tha. Mujhe bi ye weird laga, lol. Isme kafi badey actors hau to shayad wo inke fans hon lol",I was just looking at that. I thought that was weird too lol. It's got some pretty big actors in it though so maybe they're fans lol.
"Rotten Tamatar score he, 86%",The Rotten Tomatoes score is  86%
seriously! first week mein hi box office ko knocked off kara aur Matrix reloaded,Seriously!  Did you know it knocked off The Matrix Reloaded from the box office during its first week?
Spoiler aane ki chetavni!!!!,spoiler alert!!!!
KYA YEH SUSPENSEFUL HEIN? MEIN JARUR DEKHNE KE LIYE CONSIDER KARUNGA,Is it suspenseful?  I may consider watching it
wo tha aur uske saath communicate karna bhi kaafi difficult tha.,He was that and also very difficult to communicate with.
Main Batman begins read kar raha hoon. Bahut achi movie hai.,I'm reading about Batman Begins. It is a very good movie.
Rotten Tomatoes ne toh 96% deya tha aur yeh movie tho 2010 ka hein,"Rotten Tomatoes has rated it 96% so that's decent, and it is a movie from 2010"
Jabki mujhe lagta hai ki Emma Stone ne bahut badiya kam kiya hai,I thought Emma Stone did a fantastic job though
"Mujhe lagta hai wo ek acha love interest hai, lekin uski acting just okay hai","I think she was an appropriate love interest, but her acting was just okay."
"Elsa queen bani hoti hein, lekin voh apni powers ke baare mein logon ko patha nahi chalna chahiye ke dar bahut tha. jab castle party mein uska choti bahen Anna ko us visiting dignitary ke saath love hotha hein, jo use propose kartha hein, elsa neh toh no bole aur apni power ko saare logon ke saamne dekha dethi hein","Elsa eventually becomes queen, but she's terrified that people will find out about her powers and be afraid of her. They have a castle party, and the younger sister--Anna--falls in love with a visiting dignitary, who proposes to her. Elsa says, ""No"" and loses control of her powers in front of everyone."
"Alfred ko main love karta hun, wo to backbone tha","Love Alfred, he is the backbone"
YEH BLACK COMEDY HEI ACTION NAHI,It is a black comedy not action
Morgan Freeman apne saare roles mein badhiya hai.,Morgan Freeman is a good in all his roles
"haan, aap?","Yes, are you?"
aur us morgan freeman tho god bankar bruce ka day save kiya aur usse uska kaam nikal vaaya,"And of course, God  (Morgan Freeman) steps in to save the day and tells Bruce what he should do."
mujhe kuchh 6 ya 8 khilaune yaad hain,I seem to recall some 6 or 8 toys
"acha, mera favorite character toh judy hoops hein. mera favorite scene is movie mein toh jab voh uska duty cop apni parking se shuru ki","Oh okay, my favorite character was Judy Hopps. My favorite scene of the movie was when she got initially put as a parking duty cop."
AAP MUJSE YEH BAAT BOLNA CHAHIYE THA ...LOL,MAYBE YOU SHOULD BE TELLING ME ABOUT IT...LOL
mere pas bahut aaccha action thriller reccomendation hi.,I have a really great action thriller reccomendation for you 
itna long hein is film,How long is the film?
"Elsa aakhir queen ban hi jati hai, par wo darti hai ke agar logon ko uski powers ke baare mein pata lag gaya to wo usse darenge. Wo castle mein ek party dete hain, aur chhoti sister Anna ek guest ke saath pyar karne lagti hai, joki usko propose karta hai. Elsa use mana karti hai aur sab ke saamne uske powers lose ho jati hain.","Elsa eventually becomes queen, but she's terrified that people will find out about her powers and be afraid of her. They have a castle party, and the younger sister--Anna--falls in love with a visiting dignitary, who proposes to her. Elsa says, ""No"" and loses control of her powers in front of everyone."
muje yakin hi nahi hota ki uska mansion flames mein burnt huva,I cannot believe his mansion burnt down in flames
Leonardo DiCaprio aur Joseph Gordon Levitt hain usme,Leonardo DiCaprio and Joseph Gordon Levitt are in it
kyon voh itna kadva baath kiya?,Why was he hard to speak with?
is film ka fun thing hein ki voh sab toys ka personal interactions hein,The fun thing I found in the film was all the personal interactions between the toys
Morgan Freeman sob roles bahot hi achcha karta hai,Morgan Freeman is a good in all his roles
scientific kaho.,Says scientific
Songs kaise the?,How were the songs?
Maine 18 turn to apne side count ki hai aur tumhare side bhi itni to hongi.,I counted 18 turns on my side and you have at least that many.
hello.. tho rotten tomatoes ka score tho ache hein is movie ko,"Hello. So, this movie has a pretty good Rotten Tomatoes score!"
Uska ek Buzz naam ka bhai hai jisse Kevin ki banti nahi hai kyunki Buzz ke saath ek altercation ke baad usko third floor par bhej diya gaya tha the night before they left for paris,he has a brother named Buzz who Kevin is not a fan of since he was sent to the third floor after an altercation with Buzz the night before they left for paris 
"khair, mujhe lagata hai ki philm donon tarah ke logon ke lie kaam karatee hai. kuchh ko isake ekshan se pyaar hai aur kyonki yah ek daraavana thrilar hai, jabaki any ise adhik vinodee aur majaakiya samajhate hain.","Well, I suppose the film works for both types of people. Some love it because of its action and because it's a scary thriller, while others find it to be more humorous and funny. "
kya yeh true story hein?,What is the true story?
bye aur movie par maje karo,Bye and have fun at the movie!
Hi. Ham jis movie ke baare mein baat karenge wo hai  Bruce Almighty. Ye ek comedy hai starring Jim Carrey aur Morgan Freeman,Hi.  Bruce Almighty is the movie we will be talking about.  It is a comedy starring Jim Carrey and Morgan Freeman.
probably R hoga fir,Probably R then.
"haan, very much.main imagine bhi nahin kar sakti ki agar koi mujhe itna abuse kar sakta hai","Yes, very much so. I can't even imagine having all of that abuse done to me."
hello,hello
yes,yes 
Yes,yes
"maine Hooseirs kabhi nahi dekhi, kya tum ye kahoge ki Blind Side best sports movie mein se ek hai?","I've never seen Hoosiers, would you say Blind Side is one of the best sports movies ever?"
MAIN JANTHA HOON,i know :) 
BELFORT FALL SE LED HEIN,it led to Belfort fall
Mujhe aur kya janna chahiye movie ke baare mein.,What else should I know about the movie
Kya tum infinity wars ke liye excited ho?,Are you excited about infinity wars?
Oh mujhe pehle se hi doubt tha but film ne sach mein hold krke rakha.,"O had my doubts about it at first, but the film really holds up"
"alfred tho is movie ka hero hein, aur bruce ko constantly save kar raha tha","Alfred is such a hero in the movie, constantly saving Bruce"
"mai ab is conversation ko finish karna chahta hu,aapki afternoon badhiya ho",I'm going to push finish conversation now.  Have a good afternoon.
Maine director Damien Chazelle ke bare me kabhi suna nahi hai,I've never heard of the director Damien Chazelle
"mein soch raha hoon , ki original jaws toh badiya movie hein",I was thinking of how I remember what a good movie the original Jaws was.
WLLce Shawn toy T-rex hai`,WLLce Shawn is a toy T-rex
thor se ab aur zyada mohabbat hai uski third movie ke baad. mera favorite  hai captain america.wo sub se interesting character hai mere liye,Love thor even more now after his third movie. My favorite is captain america. Hes the most interesting character to me 
kya tumhe aur kuch pata hai Shape of Water ke baare mein? kuch fun facts ya something?,Do you something else about the Shape of Water? Some fun facts or something?
Jazz Pianist mujh excite nahi karte hai.,Jazz Pianist doesn't get me excited
"ek critic ne kaha  ki yeh ""Weirder"" ho.","A critic did say it could be ""weirder"""
mein tho sports family ka hoon aur mein tho is movie ka fan hoon. yeh tho true story mein based kiya hein.,I was raised in a sports family and I am a movie fan. This is based on a true story.
Bahut acche! tum at least kah to sakogi ki tumne us samay ka ek revolutionary classic dekha.,Great!  You at least will be able to say that you saw a revolutionary classic of that time.
wo foster homes se kyun bhaa jata hai? abuse ki wajeh se?,Why did he run away from the foster homes? abuse?
vah bachchon ke pasandeeda hain,He is the kids f arvorite
Drama kaisa tha?,What about Dramas?
cast ke baare me tum kya sochte ho,What did you think of the cast?
"Neither mere paas hai, lekin is tarah ke score ki kuchh other movies check karanee hogee","Neither have I, but with scores like that I'll have to check out some other films"
I agree,I agree
"Rotten Tomatoes main uska rotten score hi tha, so I think i am swayed by that.","Rotten Tomatoes has a rotten score for it, so I think i am swayed by that."
namaste?,hello?
JORDAN BELFFORT,Jordan belffort
mei bhi agree hui.,I would too agree.
Tujhe superhero movies pasand hain?,Do you like superhero movies>
thor lol. mujhe hmesha se ye character pasand tha so mai bahut wxcited tha usse movie me dekhne ke liye.,Thor lol. I've always liked the character in the comics so i was really excited to see it played out in a movie.
"mai kuch ko dekhta hu, par mai unke bare me bahut hi picky hun.","I watch some, but I'm very picky about them"
bilkul ! Agar woh first wali ke jaisi hai to great hogi. Plus mujhe nahin lagta Joss Whendon kuch wrong kar sakta hai lol.,"Absolutely! If it's anything like the first one, it'll be great. Plus I don't think Joss Whedon can do any wrong lol."
"haan yar. mein bhi is movie ke baare mein suna hoon, kahi saal ke pehle aaya tha na.","Ohh yes I remember hearing about that movie, but it was a long time ago it feels like."
haa ye sahi hai jaha se mene dekha,yes that is correct from what I can see
Kya Buzz ko bura laga ki  Kevin was left behind?,Does Buzz feel bad that Kevin was left behind?
"Main sochta hun May bhi accha hai, Maine nahi kaha ki maine tom hardy ko nahi suna. Kya yanha aur koi supporting actors hai?",I think I may as well. I can't say I've heard of Tom Hardy however. Is there any other supporting actors?
bas ek pal. mujhe dastaavez padhana hai.,Just a moment. I have to read the document.
okay sounds good,okay sounds good 
"jab sab kuch is par hi aa jata hai, yah meri favorite movie me se hai, mai big movies ka fan nahi hu but ye wali me kai baar dekh sakta hu.","When it all comes down to it, this is one of my favorite movies.  I'm not a big movie fan but this is one I can rewatch many times."
Main movie ke bare mein bahut janta hun,I'm a movie buff in general
"Hello, ham kis movie ke bare mei baat kar rahe hai?","Hello, what movie are we talking about?"
Jo log dosaron ke mind main jaate hain unhe extractors kehte hain,The people who go into other people's minds are called extractors.
mein bhi aise hi kartha is bruce ka situation ko lol,I probably would have done the same if I had been in Bruce's situation. LOL'
"Han, mai shahemat hu.",Yes.  I agree.
kya tumhe movie Despicable Me pasand hai?,Did you like the movie Despicable Me?
"sukhad, nice charcha, bye.","Cool, nice chatting, bye."
Yeah,yeah
Mujhe to yahi lagta hai. Kya tumhe lagta hai ho gaya? Kya humne enough turns submit kar di hain?,I think so.  Do you think we are done?  Have we submitted enough turns?
shayad. usko character build  karne madad milegi aur wo flat nahi lagegi,Maybe. It would help build her character up and she wouldn't seem as flat 
bilkul true! as well isne cinemascope ka B bhi receive kiya!,Very true! It also received a Cinemascore of B as well!
woh uska producer bhi hai,He is also the producer.
Haan mein bhi . Wo bahut accha actor hai.,"Yes, me too.  He is a very likable actor!"
lagta hai Musics & Lyrics,Sounds like Music & Lyrics
"accha theek he, yeah me big scifi fan nahi hu but kuch movies he is genre me jinhe me still, enjoy karta hu.","Oh okay, yeah I'm not  a big scifi fan but there are a few movies I still enjoy in that genre."
mujhe bhi wo acha lagta hai par mujhe uske liye bura laga. Lagta hai wo Batman mein as a key player kafi bar dismiss hota hai,I like him also but I felt bad for him. He seems to be dismissed often as a key player in Batman
"kahir, jo documents ko main dekh raha hu mujhe blanked out ho gaya hai","WELL, THE DOCUMENT THAT I AM LOOKING AT JUST BLANKED OUT ON ME"
Oh lekin CinemaScore  A hai uska.,Oh but the CinemaScore is an A.
now ye uska tarika tha jisme wo market me add karta hai phone par sun kar,Now it is the way he markets ads by listening through the phones
jab usne powder uska face mein daala tho usse sab dekhi diya.. voh pretty wicked hein,The scene when they blow the powder in his face and he starts seeing things... that was pretty wicked. 
koi bhi movie jo steven spielberg ne direct ki hai viewers ka attentions leti hai.,Any movie directed by Steven Spielberg is bound to have the viewer's attention 
muje is movie pasand hein kyon ki mein aur mera bachon bahut enjoy kiye hein,I like the movie because it was something that both me and my children enjoyed.
"acha, voh well mein gir jaatha aur bahut bats ne usse swarming kartha.. voh initially afraid tha","Oh yeah, he fell in the well and a ton of bats were swarming him. He was initially afraid of t hem."
"no, mujhe nahi known tha parantu about it suna tha","No, I have not but have heard of it. What is it about"
mujhe lagta hai jo ending thi usne sab sahi kar dia kyuki usko realize hua ki Nick ki past me jo bulling hui wo uspar kaafi effect ki hai,"I think the ending made up for her recording, because she realized that Nick's past being bullied had a huge effect on him."
Toys animated ho jate hai jab koi paas nahi hota hai.,The tpys are animated when no one is around
haa sahi mei critics enjoy karenge,Yes and really the critics seemed to enjoy it 
mujhe is movie ko dekhne ke liye definitely kuch time nikalna chahiye,"I should take some time to see this movie, definitely."
Critics kya bol rahe hain iske baare mein?,What do critics say about it ?
Phir bhi usne colleagues ko lenieny diya evidence exchange karne badale.,"However, he is given leniency for exchange for evidence against his colleagues"
"nahi, company ka basis hi people ko scam karna","Nope, the basis of the company is to scam people"
Tom Hanks ek great actor hai.,Tom Hanks is a great actor.
"haan lagtha ki elite ne intended kiya hein, lekin kaafi money kharch kiya hein","Seems like it was intended for the elite, but he saw the amount of money to be made by globalizing it"
tumhe musicals pasand hai?,Do you like musicals?
Totally agree!! Morgan Freeman to bomb hai.,Totally totally agree!!  Morgan Freeman is the bomb.
Mujhe aisa hi lagta hai.  Yeh bad guys bad dikhne ke liye kitna work hard karte hain. Us effort ko kuch achche kaam ke liye laga sakte hain jis se aur zyada success mile.,I think so.  The bad guys work so harder at being bad.  The effort could be used for something good with a lot more success.
mein Batman begins pad raha hoon.. ache movie hein,I'm reading about Batman Begins. It is a very good movie.
yes aur yah sath me thodi mystery bhi hai. yah figure out karne me ki kya real hai aur kya nahi.,Yeah its like its got a bit of mystery too.  Trying to figure out what's real and what's not. 
Dream world me Logon ke dreams  me Dom Cobb ke bare me kuch infiltration he.,Something about Dom Cobb infiltrates peoples dreams in a dream world. 
Green army man,Green army man
"sahi mein, Pan's Labyrinth ek aisa movie hai jiske liye unhe remember kiya jayega.","Surely, Pan's Labyrinth is one of the movies for what he will be remembered. "
"Sure. Elisa (main character ) creature ko bathtub mein rakhti hai, salts ke saath. Wo out of water zyada der nahi reh sakta.","Sure. Elisa (main character ) keeps the creature in her bathtub, with salts. He cannot survive that long out of water."
"I think ye bahut sad hai ki bruce ne Chill ko marne ke bare me socha, Yeh to use bhi dark bana dega na.","I think it is very sad that Bruce thought about killing Chill.  That would have made him ""dark"" also."
kya unhone Gotham ko aas paas ki cities se cut off karne ki koshish nahi ki draw bridge ko raise kar ke?,Didn't they try to cut off Gotham from the surrounding cities by raising the draw bridge?
Nahi bilkul nahi mujhe nahi lagta government ko undermine karna sahi he.,no absolutely not I don't think its right to undermine the government
main character isme creature se baat karne e liye sign language use karte hain.,The main character uses sign language to talk to the creature.
aur koi badi actors hein kya is mein?,Any other big name actors in it?
aap kaunse member ko dislike karte ho?,Which member do you dislike?
mein bhi enjoy kar raha tha.. kya aap ko patha hein ki alfred ka role kon play kar raha tah?,I enjoyed it also. Do you know who played Alfred in that one?
Black widow. Usko character jyada pop ni kiya for some reason.,Black widow. Her character just didn't pop for some reason
kul  24 line,so 24 lines total?
seriously! kya voh vaakahi mein matrix reloaded ko knocked off kiya. us box office me se voh bhi first week mein?,Seriously!  Did you know it knocked off The Matrix Reloaded from the box office during its first week?
muje pasand nahi hein yar kaise voh embarrasses huva apne coworker ke saath.. aur evan ka character tho bakvas hein.,I don't like how he embarrases his other co worker but at the same time the character Evan was such an ass.
nahi he doesnt care,no he doesnt care 
Iske bare me mujhe bolne do. Ye key scenes la rehi hai,Let me tell you about it. It's bringing up key scenes.
"THODA BAD GUY HEIN, KYON KI VOH FRAUD KAR RAHA THA",He seems like the bad guy since he engaged in fraud
namaste,Hi there!
mai shaya isey dekhunga. mujhe thrillers pasand hain.,I might have to check it out. I love thrillers.
Woh pack ka leader hai. Main nahin samjhta avengers itne popular hote agar woh leader nahin hota team ka.,He is the leader of the pack. I really dont think the averages would be as popular as it is if he wasn't the leader of the team 
"mujhe yakeen nahin hai ki kya main ise ek aur koshish dena chaahoonga ya nahin, lekin phir mujhe eetee pasand aaya.","I'm not sure as to whether I'd like to give it another try or not,  but then again I liked ET. "
aisa lugta hai,SEEMS SO
"ha mai ant me rone lagi,kya tum isse affect huye","Yes, I was almost in tears by the end. Did it affect you like that too?"
Hanks toy cowboy  play kr rha hai.,Hanks plays the toy cowboy
Maine kabhi director Damien Chzelle ke baare mein nhi sunna,I've never heard of the director Damien Chazelle
nahi,no 
Daniel Ellsberg  ne US troops ke sath kon se year kiya tha,In what year did Daniel Ellsberg accompany the US troops in the movie?
maine La La land ke bare mein acha suna tha lekin IRL dekha nahin haiab tak,"I heard good things about La La Land, but haven't see it IRL yet"
Is tarah ka stuff ek person ko uske life purpose question karne ko mazbur kar deta hai,Stuff like that really makes a person question their purpose in life. 
oh Earnes cobb ki ek sharp tongue associate hai.,Oh Earnes is a sharp tongue associate of Cobb. 
"haan yar, voh movie toh badiya rated paaya tha aur jab voh release ke samay toh bahut revolutionary ban gaya tha","Yes, the movie is rated very highly and was kind of revolutionary at the time it was released."
arey jim carrey ne tho kahi bar bombed kiya.. lekin usse movie mein nahi nazar aaya/.,And Jim Carrey has bombed in so many.  But he outdid himself in this movie.
"Yes, I agree  uska character bohot kuch friends style wala role tha","Yes, I agree that her character was very much a Friends style role. '"
acha? tho mein is part ko nahi dekha.. muje bas uska scared hi yaad hein aur uska play kuch yaad nahi,Oh really? I did not see that part. I remembered he was scared but forgot what the play  was about.
Isme  Roy Schneider aur Richard Dreyfuss hai. Characters bahut real lagte hain.,Roy Schneider and Richard Dreyfuss are in it.  The characters seem very real.
bachon ke liye toh jyada gruesome ho gaye,It may be too gruesome for children though!
Mujhe lagta hai ki yah bahut sad hai ki Bruce ne Chill ko marne ka socha. Yah use dark bana deta.,"I think it is very sad that Bruce thought about killing Chill.  That would have made him ""dark"" also."
"haan yar, muje bhi kuch aisa hi laga ki jaws yek action movie hein",I do somewhat is jaws an action movie?
Comedies bahut cliche lagti hain aur aisi koi bhi nahi dikhti that I have favored in awhile.,Comedies seem to be very cliche and there does not seem to be one that I have favored in awhile.
hi,hi
mere paas bhi,mine also
"haan, belfort ne apne wife ko choda aur voh us prostitues mein mila drugs use karte",Yep. Belfort also loses his wife after she discovers he has been sleeping with prostitutes and  using drugs
Khilone,toys
khaani,story
isme shooting aur sex hai,its got shooting and sex 
main big fan nahin hoon DiCaprio ka,I not a big DiCaprio fan.
Nothing lika hai.,it does not say
main isake baare mein jyaada nahin jaanata. kya aap mujhe taaza kar sakate hain?,I don't  know much about it.. can you refresh me?
mein kaafi saalon se usse kuch movies mein nahi dekha,I have not seen him in any movies in years
Mujhe pata hai ki fire scene horrible tha.,I know the fire scene was horrible.
Yeh kab aayi?,when did it come out?
"ye American Neo-noir action flick ke sort ki he. ek critic ne ise  ""fired up, ferocious B movie fun ab asse adhik hum nahi pa sakte""  ki tarah descerib kiya he.","Its sort of an American neo-noir action flick. One critic described it as  ""fired up, ferocious B movie fun we can't get enough of""."
"kya ye marvel movies like he, comedy par heavy or classic action movies ki tarah zayada he",is it like the marvel movies heavy on the comedy or more like classic action movies 
mera bhi blank hein,Mine is blank also
Spoiler ki chetavani!!!!,spoiler alert!!!!
tumhe loki ke baare me kaisa laga?,How do you feel about loki?
kya tum bahut musicals dekhte ho?,Do you watch alot of musicals?
hey,Hey
"mein thik hoon, thankyou",I am good. Thank you.
"topiyaan ke lie khed hai, yogy","opps sorry for the caps,lol"
Thor ki third movie ke baad i love him more. Mera favourite captain america hai. Wo mujhe bahut interesting character laga.,Love thor even more now after his third movie. My favorite is captain america. Hes the most interesting character to me 
Tumhara favorite member kaun hai first avengers mein se?,Who is your favorite member from the first avengers?
Marvel mera jam hai ! lekin Avengers bahut ache hain.,Marvel is my jam! But the avengers are pretty cool. :)
"Yehi hai! Tumne iske bare mai suna hoga, then? Mujhe lagta hai ye dekhne layak hai.","It is! You've heard of it, then? It sounds to me like it's worth seeing."
dramas ka kya hua?,What about Dramas?
kaun kaunse actors hain is movie mein.,Who are the actors in the movie?
Yeh bhi true hai.,This is true too
"Alfred se love karo, wohi backbone hai.","Love Alfred, he is the backbone"
Kya wo jaan bhuj k abandon karte hai?,Did they abandon him on purpose?
American black comedy based of memoir same name ka movie he,The movie is an American Black comedy based of a memoir of the same name
"Kevin chhota baccha hai, uski exact age to nahi batate but 10 saal ka estimate hai",kevin is a young child no exact age is given estimates are he is around 10
I agree. Lagta hai wo apne emotions hold back karti hai. Bohat dull.,I agree. It seems like she holds back on her emotions. Very dull
"wo us creature ko stun aur immobilize kar dete hai, aur lab mein study ke liye lock kar dete hain","They stun and immobilize the creature, and then lock him in the lab for study"
Same,Same
mera second paragraph abhi aaya..,My second paragraph just came up
kya koi illegal trading chal rahi hai?,Is there illegal trading that goes on?
"jesse eisenberg, andrew garfield, armie hammer aur max minghella thoda familiar nahi hein..uska id bhi kuch IMBD","Jesse Eisenberg, Andrew Garfield, Armie Hammer , and Max Minghella, not famailiar with any of those, id have to look on IMBD"
is movie tho social network ke bare mein hein,The movie is The Social Network
mai waise John Legend ka music aur voice pasand karta hu,I like John Legend's music and voice though
wo amphibian ko study karne ka try kar rahe hai taki wo arms race mein Russian ke upar edge paa sakein.,They are trying to study the amphibian so that they can get an edge over the Russians during the arms race.
"haan voh sach hein. par jyada log us thrill ke liye dekhenge. udharan, voh movie me yek scene yek aurat uska naam chrissie watkins skinny dipping karthi thi ocean mein. jab voh pani mein hein, achanak use upper pull kar the hein, voh toh unexpected aur thrill bhi hein, muje toh us movie dekhkar badi kushi huvi.","Yeah, that's true. But, of course, most watch it for the thrill. For example, there is a scene in the movie where a woman named Chrissie Watkins goes skinny dipping in the ocean. While she's in the water, she's suddenly pulled under! It's unexpected and thrilling, one of the reasons why I enjoy this movie. "
