source,target,eng_ratio,marian_prediction
"Y tenemos que acertar con todas, porque si solucionamos 11, if we fail to solve the 12th, tenemos un problema. For example, si solucionamos nuestros problemas de agua, de suelo y de población, but don't solve our problems of toxics, entonces estamos en problemas.","And we've got to get them all right, because if we solve 11, we fail to solve the 12th -- we're in trouble. For example, if we solve our problems of water and soil and population, but don't solve our problems of toxics, then we are in trouble.",0.3409090909090909,"And we have to be right with you all, for if we resolve 11, if we fail to solve the 12th, we have a problem. For example, if we resolve our water, soil, and"
"Me gusta hacer las cosas big, y esto significaba one thing: existe a big gun treatment para la hipertensión pulmonar llamado Flolan, que no sólo es a drug; it's a way of life.","I like to do things big, and it meant one thing: there is a big gun treatment for pulmonary hypertension called Flolan, and it's not just a drug; it's a way of life.",0.4571428571428571,"I liked to do big things, and this signified one thing: it ares a big gun treatment for Pulmonary Hypertension called Flolan, that it's not just a drug;"
"Y lo que esto hace es afectar el payback period, no significa que no pudieras utilizar energía solar, puedes utilizar energía solar anywhere on Earth.","And all this does is affect the payback period, it doesn't mean that you couldn't use solar energy; you could use solar energy anywhere on Earth.",0.2,"And which this does is to infer the payback period, it does not mean that you wouldn't use solar energy, you can use solar energy anywhere on Earth."
"Saben, la mayoría de la gente no realize it comes from the Latin ""competere"", which means esforzarse juntos.","You know, most people don't realize it comes from the Latin competere, which means strive together.",0.4285714285714285,"You know, most people don't realize it comes from the Latin ""competere"", which means trying together."
"La situación es un poco diferente where perhaps saben que alguien es peligroso, si alguien les está disparando o doing something else that's clearly hostil como arrojar piedras, whatever.","Situation's a little bit different where perhaps they know someone who's hostile, where they've got someone shooting at them or doing something else that's clearly hostile, throwing rocks, whatever.",0.3448275862068966,"The situation is a tad different where perhaps know that some is perilous, if something or doing something else that's clearly fissile, whatever."
De ese modo create uniform lighting de una pared a la otra in a regular grid of lámparas.,This is how we create uniform lighting from one wall to the other in a regular grid of lamps.,0.5555555555555556,So create uniform lighting from one wall to the other in a regular grid of lumens.
La siguiente canción es una canción que started out como un sueño - un childhood dream.,This next song is a song that started out as a dream -- a childhood dream.,0.25,The next song is a thing that started out as a lome -- a childhood dream.
¿Pero que hay de la expression? ¿Que hay del momento en el que el artist delivers that piece of work? ¿Nuestras technologies nos permiten express?,"But what about expression? What about that moment when an artist delivers that piece of work? You know, do our technologies allow us to express?",0.3870967741935484,"But what about the expression, what is the time that the artist delivers that piece of work?"
"Mi mente teems, jumbles de rostros, voices, impresiones, I live mi vida over, como si me estuviera drowning.","My mind teems, jumbles of faces, voices, impressions, I live my life over, as though I were drowning.",0.4444444444444444,"My mind teems, jumbles of faces, voices, prints, I live my life over, as if I was drowning."
"Alguien dijo que el test que estamos facing now, a scientist me indicó, consiste en si la combination of an opposable thumb y una neocortex es una viable combination.","Somebody said the test we're facing now, a scientist told me, is whether the combination of an opposable thumb and a neocortex is a viable combination.",0.4482758620689655,"Someone said that the test that we're facing now, a scientist ordered me, is if the combination of an opposable thumb and a neocortex is a viable combination."
"""Principalmente por el poder de la Internet, las personas de modest means pueden band together y amass vast sums de dinero que pueden change the world for some public good cuando se ponen de acuerdo.""","Because primarily of the power of the Internet, people of modest means can band together and amass vast sums of money that can change the world for some public good if they all agree.",0.4864864864864865,"""Principally by the power of the Internet, modest means people can band together and amass vast sums of money that can change the world for some public good when them agree."""
"Y supimos, once that worked, que realmente had a chance, si could make los cromosomas sintéticos to do the same with those.","And we knew, once that worked, that we actually had a chance if we could make the synthetic chromosomes to do the same with those.",0.5909090909090909,"And you know, 11 that worked, that you really had a chance, if you could make the synthromosomes to do the same with those."
"Bien, esto elimina ese asunto, porque esto es una habituation Gaussian que se vuelve negativa, y more and more intense cuando mira algo.","Well, this gets rid of that, because this is a habituation Gaussian that gets negative, and more and more intense as it looks at one thing.",0.3043478260869565,"Well, this gets that thing out, cos this is a habituation Gaussian that gets negative, and more and more intenso when he watches a thing."
"Entonces, pueden haber heard of esta giant clam que was discovered off the coast of northern Islandia que reached 405 years.","And then, you might have heard of this giant clam that was discovered off the coast of northern Iceland that reached 405 years old.",0.5714285714285714,"So, you can have heard of this giant clam that was discovered off the coast of northern Iceland that reached 405 years."
"¿Qué tendencies imperan a lo largo del tiempo? Una forma de abordarlo es pensar en biological organisms, which we've heard a lot about.","What are its tendencies over time? One way to think about this is thinking about biological organisms, which we've heard a lot about.",0.56,"What tendencies do pervade the way of time? One way to approach it is to think of biological organsms, which we've heard a lot about."
"George Boole tomó el código binario de Leibniz y creó el álgebra booleana, y John von Neumann tomó Boolean algebra and created la computadora digital.","George Boole took Leibniz's binary code and created Boolean algebra, and John von Neumann took Boolean algebra and created the digital computer.",0.2,"George Boole tore the binary code of Leibniz and created the algebra booleana, and John von Neumann tore Boolean algebra and created the digital computer."
Y el Chinese government tiene ahora -- Yo work with el Chinese government en este momento -- ha taken this up.,And the Chinese government has now -- I work with the Chinese government now -- has taken this up.,0.4761904761904761,And the Chinese government has now -- I work with the Chinese government in this moment -- ha taken this up.
"Yo estaba en la parte superior de la General Assembly just looking down into it, viendo lo que sucedía.",I was at the top of the General Assembly just looking down into it and seeing it happen.,0.4210526315789473,"I was the top of the General Assembly just looking down into it, watching what was was."
"Es una famous picture; muchos han dicho que it's the picture that saved al año 1968, un año turbulent -- the student riots en París, the height of la Guerra de Vietnam.","A famous picture; many people have said that it's the picture that saved 1968, which was a turbulent year -- the student riots in Paris, the height of the Vietnam War.",0.5151515151515151,"It's a famous picture; many have savern that it's the picture that saved ay 1968, a year turbulent -- the student riots in Paris, the height of the Vietnam War."
"En una inmersión de la última serie, we counted 200 species en estas áreas -- 198 were new, nuevas especies.","On one of the last dive series, we counted 200 species in these areas -- 198 were new, new species.",0.3,"In a immersion of the ultimate series, we counted 200 species in these are ares -- 198 were new, new species."
"Y así, venían y you would do -- Anybody que fuera a show an experiment, which was kind of a new word at the time, demonstrate algún principio, they had to do it on stage, donde everybody could see it.","And so, they would come in and you would do -- Anybody that was going to show an experiment, which was kind of a new word at the time, demonstrate some principle, they had to do it on stage, where everybody could see it.",0.775,"And so, you would come in and do -- Anybody going to show an experiment, which was kind of a new word at the time, demonstrate a tween principle, they had to do it"
Y existen seis different categories en las que podemos trabajar para change the trajectory.,And then there are six different categories of things we can do to change the trajectory.,0.4285714285714285,And we have six different catgies that we can work on for change the trajectory.
Se podría decir que el theme es nature y everything that follows es una variación sobre el subject.,You might say that the theme is nature and everything that follows is a variation on the subject.,0.3888888888888889,You would say that theme is nature and everything that follows is a variation about the subject.
"El paciente pone su brazo fantasma izquierdo, que está apretado y con espasmos, en el lado izquierdo del mirror, y su mano normal en el lado derecho del mirror, y hace la misma posture, la posture del puño apretado y mira inside the mirror ¿y qué experimenta?","And the patient puts his phantom left arm, which is clenched and in spasm, on the left side of the mirror, and the normal hand on the right side of the mirror, and makes the same posture, the clenched posture, and looks inside the mirror. And what does he experience?",0.1428571428571428,"The patient puts his spectrante arm, that's thought and spasmed, on the left side of the mirror, and his normal hand on the right side of the mirror, and it does the"
"Y cuando amaneció y Galois fue a encontrarse con su destiny, dejó this pile of papers en la mesa para la next generation.","And as the dawn came up and he went to meet his destiny, he left this pile of papers on the table for the next generation.",0.4347826086956521,"And when then anoin and Galois wad to fend with his destiny, he left this pile of papers on the table for the next generation."
"Ahora que ya he introduced these four ways of mirar la tecnología, these four stages of la vida de una tecnología.","Now they've introduced these four ways of looking at technology, these four stages of technology's life.",0.4285714285714285,"Now that I've already introduced these four ways of miking the tecnology, these four stages of the life of a tecnology."
"Y todos se levantaron y fueron downstairs y el child was still there. Y ellos hicieron algo very intelligent: le preguntaron al niño, ""Can you read?""","And they all got up and they all went downstairs and the child was still there. And they did something very intelligent: they asked the child, ""Can you read?""",0.4482758620689655,"And you would up and you went downstairs and the child was still there. And you would have doing something very intelligent: you want the boy, ""Can y"
Esta struggle to find compassion en algunos de estos rather rebarbative texts es un buen dress rehearsal para hacerlo en ordinary life.,And this struggle to find compassion in some of these rather rebarbative texts is a good dress rehearsal for doing the same in ordinary life.,0.5454545454545454,Thise struggle to find compassion in some of these rather rebarbative texts is a buen dress rehearsal to do in ordinary life.
Pasé 20 años in interviews con granjeros africanos who were on the verge of famine.,I spent 20 years in interviews with African farmers who were on the verge of famine.,0.6,I spent 20 years in interviews with african farmers who were on the verge of famine.
"O cuando va al supermercado y está allí en ese enorme pasillo con different types of toilet papers, no toma su teléfono celular, abre un navegador, y va a un sitio web para tratar de decidir which of these different toilet papers es la compra más ecológicamente responsable que puede hacer.","Or when you go to the supermarket and you're standing there in that huge aisle of different types of toilet papers, you don't take out your cell phone, and open a browser, and go to a website to try to decide which of these different toilet papers is the most ecologically responsible purchase to make.",0.3333333333333333,"Or when he's going to the supermarket and he's there in that big hale with different types of toilet papers, he's not takes his cell phone, he's opening a nabrow, and"
"""estos lugares, when we protect them, cuando las comparamos con otras áreas no protegidas cercanas, this is what happens.""","These places, when we protect them, if we compare them to unprotected areas nearby, this is what happens.",0.3809523809523809,"These places, when we protet them, when we compare there to the other unprotected spaces nearby, this is what happens."
"Creando estos engineered micro landscapes para infiltrarlos, no prevent them from being used como estacionamiento para vehículos de emergencia, porque, of course, a firetruck puede aparcar ahí.","By creating engineered micro landscapes to infiltrate in them, we don't prevent them from being used as emergency vehicle parking spaces, because, of course, a firetruck can come and park there.",0.4444444444444444,"Generating these engineered micro landscapes to infilt, no prevent them from being used a parking lot for emergency cars, cos, of course, a firetruck can park there."
"Éste en particular quedó grabado en mi mind, porque es the first case of this disease que vi.","This one in particular sticks in my mind, because this is the first case of this disease that I saw myself.",0.4444444444444444,"This particular one is etched in my mind, cos it's the first case of this disase that I vid."
"Hemos pasado las últimas décadas acumulando un very powerful backlog de tecnologías para ahorrar y reemplazar el petróleo, and no one had bothered en sumarlas before.","We've been spending the last few decades accumulating a very powerful backlog of technologies for saving and substituting for oil, and no one had bothered to add them up before.",0.3461538461538461,"We've spented the tween the tween decades accumulating a very powerful backlog of tecnologys to save and replace oil, and no one had bothered in sumarlas before."
"""Podemos encontrar lugares muy densamente poblados y aún así mantener los coches, but the reality is that, by and large, what we see when we get a lot of people together with the right conditions, es un efecto de umbral en el que la gente deja de conducir tanto y increasingly, more and more people dejan sus coches por completo si está rodeadas de lugares que las haga sentir como en casa.""","Now we may find that there are places that are really, really dense and still hold onto their cars, but the reality is that, by and large, what we see when we get a lot of people together with the right conditions is a threshold effect, where people simply stop driving as much, and increasingly, more and more people, if they're surrounded by places that make them feel at home, give up their cars altogether.",0.4459459459459459,"We can find places very denmently pervaded, and yet get the cars, but the reality is that, by and large, what we see when we get a lot of people together"
"Incluso si llevas clean water por primera vez a rural villages, es algo nuevo.","Even if you're bringing clean water for the first time into rural villages, it is something new.",0.4285714285714285,"Even if you're taking clean water for the first time to rural villages, it's so new."
"Pero, ante todo, la compasión está comprised of esa capacidad to see clearly la naturaleza del sufrimiento.","But first, compassion is comprised of that capacity to see clearly into the nature of suffering.",0.2941176470588235,"But, above all, Compassion is comprised of that capacity to see clearly the naturalness of Suffering."
"Soy dueño de una corporation. I work with them, y siento que we all need them y que they're important.","I own a corporation. I work with them, and I feel that we all need them and they're important.",0.65,"I own a corporation. I work with them, and I feel that we all need them and that they're important."
"Y resulta que mientras visitamos las compañías de pruebas de choques por todo el país, ninguna quería hacer our crash test porque decían, some explicitly, some not so explicitly, ""All of our business comes from fabricantes de asientos de autos.""","And it turns out that as we called around to the independent crash test companies around the country, none of them wanted to do our crash test because they said, some explicitly, some not so explicitly, ""All of our business comes from car seat manufacturers.",0.4047619047619047,"And it turns out that when we visit the shock test companies all over the country, noone want to do our crash test, cos they sayed, some Explicitly, some not so Explicitly, ""All of"
"Pero el mundo has changed, y it's overdue to upgrade esa perspectiva y esa taxonomía del mundo, y to understand it.","But the world has changed, and it's overdue to upgrade that mindset and that taxonomy of the world, and to understand it.",0.4285714285714285,"But the world has changed, and it's overdue to upgrade that perspection and that taxonomy of the world, and to understand it."
"Entre 1914 y 1945, 70 million people murieron in Europe alone a causa del armed conflict.","Between 1914 and 1945, 70 million people died in Europe alone as a result of armed conflict.",0.5,"Between 1914 and 1945, 70 million people died in Europe alone from the armad conflict."
"Pero spin on to los 80s cuando personal computers did arrive, en aquél entonces había room for este tipo de sistema on personal computers.","But spin on to the 80s when personal computers did arrive, then there was room for this kind of system on personal computers.",0.5833333333333334,"But spin on to the 80s where personal computers did arrive, then there was room for this type of system on personal computers."
"En la TEDGlobal University, Shereen El Feki muestra cómo algunas culturas árabes están borrowing trademarks of Western pop culture -- music videos, cómics, even Barbie -- and adding a culturally appropriate twist. Los medios de comunicación hybridized muestran que dos civilizaciones, en vez de dividirse, can dovetail.","At TEDGlobal University, Shereen El Feki shows how some Arab cultures are borrowing trademarks of Western pop culture -- music videos, comics, even Barbie -- and adding a culturally appropriate twist. The hybridized media shows how two civilizations, rather than dividing, can dovetail.",0.4468085106382978,"At TEDGlobal University, Shereen The Feki shows how after arab culturals are borrowing trademarks of Western popculture -- music videos, comics, even Barbie -- and adding a culturally appropriate twist"
"Este one obviously was made out of la mitad de un vaso de Starbucks, con un stamp and mi home address written on the otro lado.",This one obviously was made out of half a Starbucks cup with a stamp and my home address written on the other side.,0.5769230769230769,"Thise one ossiously was made out of the mitten of a Starbucks glass, with a stamp and my home address written on the other side."
"Nuestros hopes and dreams, lo que queremos accomplish, es diferente, y nuestros paths will be diferentes, todas son stories.","All of our hopes and dreams, what we want to accomplish, is different, and our paths will be different, they are all stories.",0.4736842105263157,"Our hopes and dreams, which we want to accomplish, is different, and our paths will be different, you're all stories."
"El ATA es el primer telescopio construido con un gran número de small dishes, y hooked together with computers.","The ATA is the first telescope built from a large number of small dishes, and hooked together with computers.",0.3684210526315789,"The ATA is the first telescope to be built with a large number of small dishes, and hooked together with computers."
"Así que salí a comprar muchos pins that would, de hecho, reflect what yo pensaba que fuéramos a hacer on any given day.","So I went out and I bought a lot of pins that would, in fact, reflect what I thought we were going to do on any given day.",0.4782608695652174,"So I goed out to buy a lot of pins that would, in fact, reflect what I would think we'd go do on any given day."
"En la parte central hay millions of tons de acumulación de desechos plásticos in our ocean, y en la última parte hay a leak de material radiactivo de la planta de energía nuclear de Fukushima in the Pacific Ocean.","The middle line is millions of tons of plastic debris accumulating in our ocean, and the third line is radioactive material leaking from Fukushima nuclear power plant in the Pacific Ocean.",0.3076923076923077,"The central part is millions of tons of accumulation of plastic waste in our ocean, and the ultimate part is leak of radiational material from the Fukushima nuclear power plant in the Pacific Ocean."
CA: Ayúdanos a understand a bit about you personally y cómo llegaste a hacer esto.,CA: So help us understand a bit about you personally and how you came to do this.,0.5625,CA: Help us understand a bit about you personally and how you come to do this.
"Construido con palabras, es el engine that drives la trama de su libro y también de la película, en la cual se crea otro objeto: un prop que debe representar lo que Hammett creó con palabras, inspirado por el Kniphausen Hawk, y que representa el falcon en la película.","Built out of words, it is the engine that drives the plot of his book and also the movie, in which another object is created: a prop that has to represent the thing that Hammett created out of words, inspired by the Kniphausen Hawk, and this represents the falcon in the movie.",0.26,"Constructed with words, it is the engine that drives the stratum of your book and the film, in which other object is created: a prop that it has to represent which Hammett created with words, in"
"Bien, teníamos este sitio, lo alquilamos, el dueño estaba all for it. Teníamos este mural, es un Chris Ware mural que basically explains toda la historia de la palabra impresa, en forma de mural -- lleva un montón de tiempo para digest y tienes que stand in the middle of the road.","So, we had this place, we rented it, the landlord was all for it. We did this mural, that's a Chris Ware mural, that basically explains the entire history of the printed word, in mural form -- it takes a long time to digest and you have to stand in the middle of the road.",0.3269230769230769,"Well, we had this place, we rented it, the own man was all for it. We had this mural, it's a Chris Ware mural that basically explains the whole story of the printed"
Así que resultó que starting a council of dads fue una forma muy efficient way to find out qué pensaba mi mujer de mis amigos.,So it turned out that starting a council of dads was a very efficient way to find out what my wife really thought of my friends.,0.4,So it turned out that starting a council of dads was a muy efficient way to find out what my wofe thought of my amigos.
Y todas ellas happen over a período de time equal to 10 to the 10 to the 120 años.,They all happen over a period of time equal to 10 to the 10 to the 120 years.,0.5263157894736842,And all of them happen over a time period equal to 10 to the 10 to the 120 years.
"Y argumentar, entonces, que la chance of a second death es igual que si you didn't know esa información, es realmente silly.","And to argue, then, that the chance of a second death is as if you didn't know that information is really silly.",0.4545454545454545,"And arguing, so, that the chance of a second death is the same as if you didn't know that information, it's real silly."
"El biólogo Robert Full estudia el amazing gecko, con sus supersticky feet y su tenacious climbing skill. Pero las high-speed footage revelan que la cola del gecko harbors quizás el most surprising talents of all.","Biologist Robert Full studies the amazing gecko, with its supersticky feet and tenacious climbing skill. But high-speed footage reveals that the gecko's tail harbors perhaps the most surprising talents of all.",0.5142857142857142,"Biologian Robert Full studs the amazing gecko, with his supersticky feet and his tenacious climbing skill. But the high-speed footage reveal that the tail of the gecko harbors"
"Todo lo que there isn't time to learn de un maestro, or to talk about, incluso, de un maestro.","Everything that there isn't time to learn from a teacher, or to talk about, even, from a teacher.",0.4736842105263157,"All that there isn't time to learn from a maestro, or to talk about, every, a maestro."
"Las pocketknives están kind of drifting out de nuestra cultural consciousness, lo cual pienso que es a terrible thing.","Pocketknives are kind of drifting out of our cultural consciousness, which I think is a terrible thing.",0.5263157894736842,"Pocketknives are kind of drifting out of our cultural consciousness, which I think is a terrible thing."
"Parecía, en aquel tiempo, que era a sea of Eden, pero now we know, y ahora estamos facing paradise lost.","It seemed, at that time, to be a sea of Eden, but now we know, and now we are facing paradise lost.",0.55,"He was, it was, it was a sea of Eden, but now we know, and we're facing paradise lost."
"Una mujer palestina me dijo una vez: ""It is not about the fear of one death,"" dijo, ""sometimes I feel I die 10 times in one day,"" al tiempo que describía the marches of soldiers and the sounds of their bullets.","A Palestinian woman once told me, ""It is not about the fear of one death,"" she said, ""sometimes I feel I die 10 times in one day,"" as she was describing the marches of soldiers and the sounds of their bullets.",0.6304347826086957,"A Palestinian woman once said to me, ""It is not about the fear of one death,"" he said, ""sometimes I feel I die 10 times in one day,"" at which he wrote the marches of"
"En Indonesia at this time, si ustedes traían una needle, and the cops los inspeccionaba, they could put you into la cárcel.","So, in Indonesia at this time, if you were carrying a needle and the cops rounded you up, they could put you into jail.",0.5,"In Indonesia at this time, if you bought a needle, and the cops inspected you, they could put you into the Jail."
"Para esto we came up with un paradigma muy simple en colaboración con el grupo Fiorella, en el que one side of this little box, si el animal va allí, the animal gets un pulso de luz para hacer distintas células del cerebro sensitive to light.","So to do that, we came up with a very simple paradigm in collaboration with the Fiorella group, where one side of this little box, if the animal goes there, the animal gets a pulse of light in order to make different cells in the brain sensitive to light.",0.4347826086956521,"For this we came up with a muy simple Paradge in colaboration with the fiorella group, in which one side of this little box, if the animal goes there, the animal gets a pulse of light to do di"
"""También hay una serie de features que varían entre continentes like that que tienen que ver con how we metabolize food que ingerimos, o con la forma de deal with microbes del sistema inmunológico que try to invade nuestros cuerpos.""","There are also a number of features that vary between continents like that that have to do with how we metabolize food that we ingest, or that have to do with how our immune systems deal with microbes that try to invade our bodies.",0.3809523809523809,"""There's also a series of features that varive between like that substannts that have to do with how we metabolize food that we inger, or the form of deal with microbes of the Immune"
"Y, de nuevo, van a tener telemetría inalámbrica hacia your mobile devices so pueden ir a cualquier lado y be monitored remotely.",And they're going to be wirelessly telemetered again to your mobile devices so you can go places and be monitored remotely.,0.4090909090909091,"And, again, you're going to have wile telemetry to your mobile devices so you can go to every side and be monitored Remotely."
Tiene lots of different information sobre cuál es el process going on en esta proteomic conversation en many different scales.,It has lots of different information about what's the process going on in this proteomic conversation on many different scales.,0.75,He haves lots of different information about what is the prouss going on in this proteomic conversation in many different scales.
