source,target
"Así, the idea came to me of lo inspirador que puede ser un camino, una ruta -- think the silk route, think the Appalachian trail -- that followed in the footsteps of Abraham.","So the idea came to me of what about inspiring a path, a route -- think the silk route, think the Appalachian trail -- that followed in the footsteps of Abraham."
"Pusimos todos los problemas del mundo there, y pensé: let's let them solve it.","We put all the problems of the world there, and I thought, let's let them solve it."
"Esto es algo triste, pero it's actually algo feliz de algún modo, because puedes recordarlos en su forma pura.","This is a sad thing, but it's actually a happy thing in a way, because you can remember them in their pure form."
"Pueden imaginarse que then maybe you can use una proteína pura to guide light, y, así, we've made fibras ópticas.","You can imagine that then maybe you can use a pure protein to guide light, and so we've made optical fibers."
Este es el producto que everyone in the world eats y nos cuesta trabajo to give up.,"This is the product that everyone in the world eats, that is so difficult to give up."
"Específicamente, quiero talk with you about la evolución de la biónica para people with arm amputations.","And specifically, I'd like to talk with you about how bionics is evolving for people with arm amputations."
"Pagamos un precio, pero somos conscientes de ello y generalmente pagamos el precio por increased freedoms, choices and opportunities.","We pay a price for that, but we are aware of it, and generally we will pay the price for increased freedoms, choices and opportunities."
"Son personas que están looking not to dodge the system's rules and regulations, sino transformar el sistema, y hay varios.","These are people who are looking not to dodge the system's rules and regulations, but to transform the system, and we talk about several."
"Como la death of a relative, o un cyclone, o un hurricane, o un earthquake.","It's like a death of a relative, or a cyclone, or a hurricane, or an earthquake."
"""Me encontré con este sign as I was driving hacia Maine hace poco, delante de una church -- ""Good sin God se convierte en zero.""""","I found this sign as I was driving to Maine recently, in front of a church -- ""Good without God becomes zero."""
Pero me gustaría hablar further sobre la combination of light and darkness como a quality in our life.,But I would like to talk further about the combination of light and darkness as a quality in our life.
Paul Moller nos habla del futuro del viaje aéreo personal: la unión de los automóviles y el vuelo que nos dará real libertad para viajar off-road. Él muestra two things he's working on: el Moller Skycar y un passenger-friendly hovering disc.,Paul Moller talks about the future of personal air travel -- the marriage of autos and flight that will give us true freedom to travel off-road. He shows two things he's working on: the Moller Skycar and a passenger-friendly hovering disc.
La siguiente canción es una canción que started out como un sueño - un childhood dream.,This next song is a song that started out as a dream -- a childhood dream.
"Así que para hacer eso, tenemos que combinar smart vaccine design con smart production methods y, por supuesto, con smart delivery methods.","So to do that, we have to combine smart vaccine design with smart production methods and, of course, smart delivery methods."
Y todas ellas happen over a período de time equal to 10 to the 10 to the 120 años.,They all happen over a period of time equal to 10 to the 10 to the 120 years.
"En el otro extremo de la escala, nuestros ancestros nunca tuvieron que navigate through the cosmos at speeds close to the speed of light. Si lo hubieran hecho, nuestros cerebros serían mucho mejores para understanding Einstein. Quiero dar el nombre de ""Middle World"" al ambiente de medium-scaled en el que hemos evolved the ability to take act -- nothing to do with ""Middle Earth.""","Moving to the other end of the scale, our ancestors never had to navigate through the cosmos at speeds close to the speed of light. If they had, our brains would be much better at understanding Einstein. I want to give the name ""Middle World"" to the medium-scaled environment in which we've evolved the ability to take act -- nothing to do with Middle Earth."
"Sabiendo que su país es economical conducive for investment, y que su gente es transparent and trustworthy en los negocios, bajo dicha premisa le escribo.","Knowing your country to be economical conducive for investment, and your people as transparent and trustworthy to engage in business, on which premise I write you."
"Y sé que we're all busy people, no se preocupen, pueden hacer esto on a lunch break.","And I realize we're all busy people, so don't worry, you can do this on a lunch break."
"Cuando los kids arrive se les confronta con lots of stuff: madera y clavos, soga y ruedas, y un montón de tools, real tools.","When the kids arrive they're confronted with lots of stuff: wood and nails and rope and wheels, and lots of tools, real tools."
Estamos really becoming muy close to understanding los pasos clave that makes dead stuff come alive.,And we're really becoming very close to understanding the key steps that makes dead stuff come alive.
Los insectos y otras species can take el polen y transfer it directly a donde it's required.,"The insects and other species can take the pollen, transfer it directly to where it's required."
"Muy pronto el doctor esta diciendo, ""Well, I doubt if ese dolor de cabeza could be un tumor, but who would protect me if it were?, entonces maybe I'll just order la Resonancia Magnética.""","Pretty soon the doctor's saying, ""Well, I doubt if that headache could be a tumor, but who would protect me if it were? So maybe I'll just order the MRI."""
"La artritis y las lesiones pueden grind down millones de articulaciones, pero pocas obtienen el mejor remedio: real biological tissue. Kevin Stone presenta un treatment que could sidestep los altos costos y la escasez de donantes de órganos para transplantes with a novel use of animal tissue.","Arthritis and injury grind down millions of joints, but few get the best remedy -- real biological tissue. Kevin Stone shows a treatment that could sidestep the high costs and donor shortfall of human-to-human transplants with a novel use of animal tissue."
"Lo que es pretty impressive ¿No es cierto? ¡We won! Mister Splashy Pants was chosen. Hmm, just kidding.","Which is pretty impressive right? We won! Mister Splashy Pants was chosen. Hmm, just kidding. Okay."
"Como somos una especie inteligente, podemos actually create todo tipos de entornos que son super, super complicated, sometimes demasiado complicados para que los entendamos a pesar de que nosotros mismos los hemos creado.","Because we're a smart species, we can actually create all kinds of environments that are super, super complicated, sometimes too complicated for us to even actually understand, even though we've actually created them."
"""Muchos de nosotros estamos fuera y todos, tomándole algo prestado a Hans, Hans Rosling, es mi héroe, si el tamaño del texto representa lo que acapara más la atención, son los problemas. Pero lo que realmente necesitamos son African solutions que son adecuadas para Africa, teniendo en cuenta la cultura, a la gente, cuánto dinero tienen.""","There are too many of us outside and everybody, just to borrow a bit from Hans -- Hans Rosling, he's my guy -- if the size of the text represents what gets the most attention, it's the problems. But what we really need are African solutions that are appropriate for Africa -- looking at the culture, looking at the people, looking at how much money they've got."
"De hecho, cuando se inventó la margarina, several states passed laws obligando a teñirla de pink, so we'd all know que era una fake.","In fact, when margarine was invented, several states passed laws declaring that it had to be dyed pink, so we'd all know that it was a fake."
Tengo so much to say. I have que pensar lo que am going to say.,I have so much to say. I have to think what I am going to say.
La idea alocada era que íbamos a try to clone un dinosaurio as much as we can con today's technology.,The crazy idea is we're going to try to clone a dinosaur as much as we can with today's technology.
"Como tal, it does create un reto de protección, pero we also have un reto protegiendo las especies que move along with it.","As such, it does create a challenge to protect, but we also have a challenge protecting the species that move along with it."
Fue entonces cuando our manuscript was accepted y será publicado later this month en la journal Radiology.,Our manuscript was then accepted and will be published later this month in the journal Radiology.
"Soy geofísico y cuando era estudiante, en mis Earth science books tenía que give the wrong answer para sacar un A.","I'm a geophysicist, and all my Earth science books when I was a student -- I had to give the wrong answer to get an A."
"Ahora, I'm actually going to ask you to try something, así que tienen que prestar atención. La complejidad: if you spend enough time a algo, el tiempo va más lento o sus habilidades aumentan, so your perceptions change.","Now, I'm actually going to ask you to try something, so you've got to pay attention. Complexity: if you spend enough time doing something, time slows down or your skill increases, so your perceptions change."
"Lo que me gustaría que consideraran es lo siguiente: ¿Qué significado tiene que estos dots don't represent the individual bases of your genome, pero they connect to genomes all across the planet?","So what I'd like you to consider is: What does it mean when these dots don't represent the individual bases of your genome, but they connect to genomes all across the planet?"
"Pero lo que él dijo fue really significant, is that el diseño was going to be why los niños were going to love este producto, cómo íbamos a hacerlo low cost, robust.","But what he said was really significant, is that design was going to be why the kids were going to love this product, how we were going to make it low cost, robust."
"Al preparar esta historia estaba buscando a niños que no hubieran sido fotografiados before, y la Pearl Buck Foundation me explicó que trabajan con muchos Americans que donaban dinero para help some of these kids.","In the course of doing the story, I was looking for children who hadn't been photographed before, and the Pearl Buck Foundation told me that they worked with a lot of Americans who were donating money to help some of these kids."
"""Podemos encontrar lugares muy densamente poblados y aún así mantener los coches, but the reality is that, by and large, what we see when we get a lot of people together with the right conditions, es un efecto de umbral en el que la gente deja de conducir tanto y increasingly, more and more people dejan sus coches por completo si está rodeadas de lugares que las haga sentir como en casa.""","Now we may find that there are places that are really, really dense and still hold onto their cars, but the reality is that, by and large, what we see when we get a lot of people together with the right conditions is a threshold effect, where people simply stop driving as much, and increasingly, more and more people, if they're surrounded by places that make them feel at home, give up their cars altogether."
"Ahora, no sé si está toying with me, casi como un cat batting back un mouse, batting back un mouse -- left paw, right paw, left paw, right paw. Pero ahora ya llegamos al mall.","Now, I don't know if she's toying with me, kind of like a cat batting back a mouse, batting back a mouse -- left paw, right paw, left paw, right paw -- but by now, we've reached the mall."
"Un arquitecto que las dibujara with a pen and a paper tardaría meses probably, o incluso un año to draw all the sections, all the elevations; solo se puede create something like this through an algorithm.","An architect who's drawing them with a pen and a paper would probably take months, or it would take even a year to draw all the sections, all of the elevations, you can only create something like this through an algorithm."
"En la TEDGlobal University, Shereen El Feki muestra cómo algunas culturas árabes están borrowing trademarks of Western pop culture -- music videos, cómics, even Barbie -- and adding a culturally appropriate twist. Los medios de comunicación hybridized muestran que dos civilizaciones, en vez de dividirse, can dovetail.","At TEDGlobal University, Shereen El Feki shows how some Arab cultures are borrowing trademarks of Western pop culture -- music videos, comics, even Barbie -- and adding a culturally appropriate twist. The hybridized media shows how two civilizations, rather than dividing, can dovetail."
"Así que tenemos un motor here on the left, y it goes through a gear train.","So, we have a motor here on the left, and it goes through a gear train."
"Me gusta este de la Belgian field office, en la que nos reunimos en una roundabout, precisamente porque la roundabout iconified el movimiento social sin cabeza que informa mucho sobre la transformación social, a diferencia del top-down control de la red light del semáforo en las intersecciones.","I like this one from the Belgian field office, where we met in a roundabout, precisely because the roundabout iconified the headless social movement that informs much social transformation, as opposed to the top-down control of red light traffic intersections."
"""Y no sólo eso, when you cut emissions, no reduces la concentración. Because la concentracion, the amount of CO2 en el aire, es la suma de las emisiones over time.""","And not only that, when you cut emissions, you don't cut concentrations, because concentrations, the amount of CO2 in the air, is the sum of emissions over time."
"La belleza del hidrogeno es que se puede obtener desde muchas different sources: puede venir de fossil fuels, puede venir de cualquier way que puede create electricity, incluyendo renewables.","The beauty of hydrogen is it can come from so many different sources: it can come from fossil fuels, it can come from any way that you can create electricity, including renewables."
"""Y la Russian special military police, las special forces, Spetsnaz, came in y actually stormed el teatro.""","And the Russian special military police, special forces, Spetsnaz, came in and actually stormed the theater."
"Y no es Shanghai, it's not being colored durante el día, only de noche it will look this way.","And it's not Shanghai, it's not being colored during the day, only at night it will look this way."
"Pero también puedes understand that si tuvieras una enfermedad within one of estas columns, la nota is going to be off.","But you can also understand that if you have a disease within one of these columns, the note is going to be off."
"Aquí, este es el car seat. Ahora observen dos cosas: observen como la cabeza va hacia adelante, y básicamente golpea las rodillas, esto es en el car seat. Y observen como el car seat vuela alrededor, en el rebote, up in the air.","So here -- this is the car seat. Now watch two things: watch how the head goes forward, and basically hits the knees -- and this is in the car seat -- and watch how the car seat flies around, in the rebound, up in the air."
Lo primero que tienen que hacer cuando tienes un undeciphered script es tratar de figure out la dirección de escritura.,The first thing that you need to do when you have an undeciphered script is try to figure out the direction of writing.
"y ellos usan una metodología completamente diferente que involves, después de ocurrido the crash, obtienen de las compañías aseguradoras the names of the people who were in the crash, los llaman por teléfono, y les preguntan what happened.","And they use a completely different methodology that involves -- after the crash occurs, they get from the insurance companies the names of the people who were in the crash, and they call them on the phone, and they asked them what happened."
"Este one obviously was made out of la mitad de un vaso de Starbucks, con un stamp and mi home address written on the otro lado.",This one obviously was made out of half a Starbucks cup with a stamp and my home address written on the other side.
"Pero realmente necesitamos que nos aseguren que estos algoritmos have encoded in them un sentido de la public life, un sentido de civic responsibility.","But we really need you to make sure that these algorithms have encoded in them a sense of the public life, a sense of civic responsibility."
"Y así, venían y you would do -- Anybody que fuera a show an experiment, which was kind of a new word at the time, demonstrate algún principio, they had to do it on stage, donde everybody could see it.","And so, they would come in and you would do -- Anybody that was going to show an experiment, which was kind of a new word at the time, demonstrate some principle, they had to do it on stage, where everybody could see it."
"Ya que, cuando miras a través de your fingernails, puedes ver los blood vessels, y si se ven los blood vessels, creemos que podemos ver the malaria.","Because if you actually look through your fingernails, you can see blood vessels, and once you see blood vessels, we think we can see the malaria."
"Alguna gente dice; debería ser gratis, debería ser tabloid, or even smaller: A4; debería ser local, run by communities, o niche, for some smaller groups like business... pero entonces no es gratis; it's very expensive.","Some people say it should be free; it should be tabloid, or even smaller: A4; it should be local, run by communities, or niche, for some smaller groups like business -- but then it's not free; it's very expensive."
"Era un well-documented fishery y, como pueden see here, peaked en los 50s cuando were killing 1,500 sharks al año.","It was a well-documented fishery, and as you can see here, it peaked in the 50s where they were killing 1,500 sharks a year."
"""aun cuando cada vez que voy a Pompeii, I'm amazed que tuvieran el equivalente de un McDonald's en cada street corner, too.""","Although every time I go to Pompeii, I'm amazed that they had the equivalent of a McDonald's on every street corner, too."
Ahora me gustaría dibujar un little car acá -- I'll just do this very quickly -- y le pongo una big tire on him.,So I'd like to draw a little car here -- I'll just do this very quickly -- and put a big tire on him.
"Y luego otro pair of legs en que colaboramos fueron estas -- look like jellyfish legs, también polyurethane.","And then another pair of legs we collaborated on were these -- look like jellyfish legs, also polyurethane."
"Para tener una noción más clara, y este ha sido un tema del que hemos hablado toda la semana, I recently talked to a bunch of veinteañeros.","To get a sense of this, and it's been a theme we've talked about all week, I recently talked to a bunch of tweeners."
"Y cuando pensamos en la imagen clásica de un scientist in the lab, tenemos esa imagen -- you know, they're encima de un microscopio, viendo something in the tissue sample.","And when we think about the classic image of the scientist in the lab, we have this image -- you know, they're pouring over the microscope, and they see something in the tissue sample."
Y después esperen a que uno de nosotros walk around y encuentre small pieces of ustedes.,And then you hope that one of us lot will walk around and find small pieces of you.
"Si uno paga 100,000 dollars, puede arrange to have your body frozen después de muerto y lo almacenen en liquid nitrogen en uno de estos tanks en un Arizona warehouse, a la espera de una future civilization que lo resucite.","If you pay 100,000 dollars, you can arrange to have your body frozen after death and stored in liquid nitrogen in one of these tanks in an Arizona warehouse, awaiting a future civilization that is advanced to resurrect you."
"Hay una dip there, from 2001 to 2003: una dip when nuestras ventas, over a three-year period, habían bajado un 17 percent.","There is a dip there, from 2001 to 2003: a dip when our sales, over a three-year period, were down 17 percent."
"Ahora, déjenme spend the rest of my time on the tercer gran problema, because it's more sutil y, perhaps, difícil de grasp.","Now, let me spend the rest of my time on the third big problem, because it's more subtle and perhaps difficult to grasp."
"Trato de figure out intelectualmente, filosóficamente, psicológicamente, qué es la experience of beauty qué puede decirse sensibly about it, y cómo la gente go off the rails tratando de understand it.","I try to figure out intellectually, philosophically, psychologically, what the experience of beauty is, what sensibly can be said about it and how people go off the rails in trying to understand it."
Puede que sea something that is perhaps más serio como los derechos humanos in Burma.,"It may be something that is perhaps more serious -- as I said, human rights in Burma."
"Pero les digo aquí now that me comprometo a ver este project done, para ver, si, within this decade, podemos finally have en nuestras manos la rule for nuestro universo y know dónde yace nuestro universo in the space of all possible universes","But I'll tell you, here today, that I'm committed to seeing this project done, to see if, within this decade, we can finally hold in our hands the rule for our universe and know where our universe lies in the space of all possible universes ..."
Probablemente piensen que la picture on the left es masculina y que la one on the right es femenina.,"You probably think the picture on the left is male, the one on the right is female."
"Y yo quisiera, me gustaría mostrarles que if we actually look at quienes lo están haciendo, y desde where they're doing it, realmente hay an incredible social transformation.","And I would actually, I would like to show you that if we actually look at who is doing it, and from where they're doing it, actually there is an incredible social transformation."
"así, si todo va bien, van a tener designer bugs en tanques térmicos que están eating y digesting azúcares para excretar mejores biocombustibles.","So, if all goes well, they're going to have designer bugs in warm vats that are eating and digesting sugars to excrete better biofuels."
"y ví que estaba sucediendo algo extraordinary en Silicon Valley así que quería estar there, y I saw que la computer estaba coming into nuestras homes, que it had to change para estar with us en nuestros hogares.","And I saw something extraordinary happening in Silicon Valley, so I wanted to be there, and I saw that the computer was coming into our homes, that it had to change in order to be with us in our homes."
"De hecho, there are otras dos mujeres who were condenadas on the basis of la evidencia de this pediatrician, y han sido subsequently liberadas al appeal.","In fact, there are two other women who were convicted on the basis of the evidence of this pediatrician, who have subsequently been released on appeal."
"""He estado en esto durante 30 años y en ese tiempo he visto la capacidad, el compromiso, la voluntad del gobierno de hacer que esto disminuya y no see them making a comeback en este momento.""","I've been at this for 30 years, and in that time I've seen the ability, the commitment, the will of government to do this decline, and I don't see them making a comeback right now."
Se les puede dar... darle a alguien four hours of uninterrupted time es el mejor regalo que se le puede dar a alguien at work.,And you can give someone -- giving someone four hours of uninterrupted time is the best gift you can give anybody at work.
"Era 1957, y yo tan sólo era un little 10-year-old kid; Yo no sabía what that was. Pero él me llevó a see one, you know, lo que estuvieran haciendo. Era como una library, llena de vacuum tubes hasta donde alcanzaba la vista, floors and floors de estas cosas, y uno de los engineers dijo: ""some day you're going to be able to put esta en vuestro bolsillo"".","This was 1957, I was a little 10-year-old kid; I didn't know what that was. But he took me down to see one, you know, what they were making. It was like a library, just full of vacuum tubes as far as you could see, just floors and floors of these things, and one of the engineers said, some day you're going to be able to put this thing in your pocket."
"Piensen qué sucedería si are taken away from you, si algún día you don't actually have them, por some reason or another.","Think about if they are taken away from you, if one day you don't actually have them for some reason or another."
Pero no me hace believe that estamos en un mundo que pueda live sin guerra aún.,But it doesn't make me believe that we're in world that can live without war yet.
"Pero también estaban frustrados con the bikes that your dad rode, que tenían big handlebars like that y eran too heavy.","But also frustrated with the bikes that your dad rode, which sort of had big handlebars like that, and they were too heavy."
"Presentamos más de 300 muestras de mushrooms que fueron hervidos in hot water, y el micelio harvesting estos extracellular metabolites.","We submitted over 300 samples of mushrooms that were boiled in hot water, and mycelium harvesting these extracellular metabolites."
Las horribles imágenes de Abu Ghraib as well as the images from Guantánamo tuvieron un profound impact.,The horrifying images from Abu Ghraib as well as the images from Guantanamo had a profound impact.
"Puedes make both p- and n-type semiconductores, lo que means que puedes hacer transistores out of ellos.","You can make both p- and n-type semiconductors, which means you can make transistors out of them."
"Rachel Naomi Remen está actually bringing compassion back to su justo lugar alongside science, en su campo de la medicina, in the training of nuevos médicos.",Rachel Naomi Remen is actually bringing compassion back to its rightful place alongside science in her field of medicine in the training of new doctors.
"No sé about you, pero I go to Starbucks y Pete's y places like that, y un venti latte en San Francisco is cinco dollars.","Now I don't know about you, but I go to Starbucks and Pete's and places like that, and venti latte in San Francisco is five dollars."
Entonces tienen this sense of urgency de encontrar as much stuff como sea posible as soon as possible.,"So you get this sense of urgency, like you need to find as much stuff as possible as soon as possible."
"El caracol está wired to a stick, por eso es más fácil to set up the shot. Y -- yeah.","And the snail's wired to a stick, so he's a little bit easier to set up the shot. And -- yeah."
"Nosotros weren't the únicos en tackle este subject, pero las photographs que Brian y Randy created están among the best to capture la devastation tanto humana como natural de overfishing.","We weren't the only ones to tackle this subject, but the photographs that Brian and Randy created are among the best to capture both the human and natural devastation of overfishing."
"En mi graduate years trabajé con mi colleague and mentor and friend, Steve Schneider, at the National Center for Atmospheric Research, investigando global change issues.","In my graduate years I worked with my colleague and mentor and friend, Steve Schneider, at the National Center for Atmospheric Research, working on global change issues."
"ZK: Hace algo así como six months ago that Keith and I were out in LA, having coffee en Starbucks con Roman Coppola.","ZK: It was like six months ago that Keith and I were out in L.A., and we were at Starbucks having coffee with Roman Coppola."
"Mucha gente diría que es imposible que alguien pueda reunir esta incredible collection of businesses sin knifing a few people in the back, you know, doing some ugly things.","A lot of people would say there's no way that someone could put together this incredible collection of businesses without knifing a few people in the back, you know, doing some ugly things."
"Primero, en cada video, the Brat Pack characters are used como una especie de template para representar la social reality de cada grupo.","First, within each video, the Brat Pack characters are used as a kind of template for performing the social reality of each group."
"No lo sé, pero de verdad es un fully living brain que hemos logrado mantener alive to do our bidding.","I don't know, but in fact it is a fully living brain that we have managed to keep alive to do our bidding."
Va a su box y saca una bag con estas little rubber bands.,He goes to his box and he pulls out a bag of these little rubber bands.
Y acabamos de cerrar las submissions el 10 de enero y nuestro final tally fue de 2.051 videos from 58 different countries.,"And we just closed submissions January 10th, and our final tally was 2,051 videos from 58 different countries."
"Puedes estimate la dirección de su mirada from those eyeballs que cubren la cámara, y puedes tell cuando está actually seeing el juguete.","You can estimate its gaze direction from those eyeballs covering its camera, and you can tell when it's actually seeing the toy."
"Los ponemos dentro, y what you see immediately es que hay waves and waves of innovation.","And we put them in, and what you see immediately is that there are waves and waves of innovation."
"Cada vez más, las naciones lanzan ataques con armas informáticas -- silent strikes on another country's computer systems that leave behind no trace. En TEDxParis, Guy-Philippe Goldstein nos muestra cómo los ciberataques pueden leap between the digital and physical worlds to prompt armed conflict y nos dice qué hacer para evitar este global security hazard.","More and more, nations are waging attacks with cyber weapons -- silent strikes on another country's computer systems that leave behind no trace. At TEDxParis, Guy-Philippe Goldstein shows how cyberattacks can leap between the digital and physical worlds to prompt armed conflict -- and how we might avert this global security hazard."
"Y más aún, otra confesión. Una vez, en un book on pre-war Poland, un studio portrait, un ángel absoluto, con ojos atormentados, tormenting eyes.","Even that though. Another confession: Once in a book on pre-war Poland, a studio portrait, an absolute angel, an absolute angel with tormented, tormenting eyes."
"Así que, whatever you think of creationism, y yo creo que es una locura, hicieron a great job.","So, whatever you think of creationism -- and I think it's crazy -- they did a great job."
"""estos lugares, when we protect them, cuando las comparamos con otras áreas no protegidas cercanas, this is what happens.""","These places, when we protect them, if we compare them to unprotected areas nearby, this is what happens."
"""Ebay resolvió the prisoner's dilemma y creó a market where none hubiera existido, al crear a feedback mechanism que convierte el juego del prisoner's dilemma en an assurance game.""",eBay solved the prisoner's dilemma and created a market where none would have existed by creating a feedback mechanism that turns a prisoner's dilemma game into an assurance game.
"Y eso no fue diferente del Imperial College in London, por cierto, no es una especie de anti-American thing going on.","And that's no different from Imperial College in London, by the way, it's not some sort of anti-American thing going on."
"Entramos en la era de las dotcom, la World Wide Web, y no necesito hablarles sobre eso porque todos atravesamos juntos esa bubble.","We come into the era of the dotcom, the World Wide Web, and I don't need to tell you about that because we all went through that bubble together."
"""Otro fantastic case de valor intangible creado para reemplazar un valor material or real, que recuerda después de todo, a lo que se debería dedicar the environmental movement: Otra vez de Prusia, creo que de around 1812, 1813.""","Another fantastic case of creating intangible value to replace actual or material value, which remember, is what, after all, the environmental movement needs to be about: This again is from Prussia, from, I think, about 1812, 1813."
"Y they said -- este one friend of mine said, ""Tengo one word for you: plastic.""","And they said -- this one friend of mine said, ""I've got one word for you: plastic."""
"Y la mayoría de los que die of regular flu, que en years de gripe normal son about 360,000 people en todo el mundo, la mayoría senior citizens. Y no die not of the flu sino because the flu gives an assault to their immune system.","And that most people who die of regular flu -- which in regular flu years is about 360,000 people worldwide, most of them senior citizens -- and they die not of the flu but because the flu gives an assault to their immune system."
"Es una gran tragedia que continúo arrastrando, y espero que todos ustedes carry this with you, de que la profesión continúa legitimizing publication of knowledge sin atribución de autoría, making them anonymous.",That is a great tragedy -- which I'm carrying still with me and I hope that all of you will carry this with you -- that the profession still legitimizes publication of knowledge of people without attributing them by making them anonymous.
"Otro important point de estos sand banks es que when it rains, el agua de lluvia soaks down into la tierra. So, desaparece.","Another important point of these sand banks is that when it rains, the rainwater soaks down into the soil. So, it's gone."
"En realidad salté al agua y photographed this, y con el permiso del pescador, I cut the turtle out, y fue capaz de swim free.","I actually jumped in and photographed this, and with the fisherman's permission, I cut the turtle out, and it was able to swim free."
